(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G012400	407	UniRef100_K7K168 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K168_SOYBN	0	100	UniRef100_Q0JAJ2 OSJNba0093F12.3 protein n=2 Tax=Oryza sativa RepID=Q0JAJ2_ORYSJ	1.00E-127	88.64	AT1G32160.1|Symbols:|Protein of unknown function (DUF760)|chr1:11568701-11570241 FORWARD LENGTH=406	2.00E-151	84.24	GO:0008150 GO:0009965 GO:0010155 GO:0030154 GO:0046777	biological process; cell differentiation; leaf morphogenesis; protein autophosphorylation; regulation of proton transport	GO:0003674	molecular function	GO:0005634 GO:0009507 GO:0009570	chloroplast; chloroplast stroma; nucleus	PF05542	Protein of unknown function (DUF760)	NA	NA	NA	NA	
Glyma.01G012500	509	UniRef100_I1J4P0 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4P0_SOYBN	0	100	UniRef100_G7K9K8 IWS1-like protein n=1 Tax=Medicago truncatula RepID=G7K9K8_MEDTR	0	102.42	AT1G32130.1|Symbols:IWS1, ATIWS1|Transcription elongation factor (TFIIS) family protein|chr1:11559146-11561786 REVERSE LENGTH=502	0	101.2	GO:0006351 GO:0006487 GO:0006623 GO:0006944 GO:0009627 GO:0009697 GO:0009742 GO:0016192 GO:0032784 GO:0048193	Golgi vesicle transport; brassinosteroid mediated signaling pathway; cellular membrane fusion; protein N-linked glycosylation; protein targeting to vacuole; regulation of DNA-dependent transcription, elongation; salicylic acid biosynthetic process; systemic acquired resistance; transcription, DNA-dependent; vesicle-mediated transport	GO:0003677	DNA binding	GO:0005634	nucleus	PF08711	TFIIS helical bundle-like domain	PTHR22908	MIDASIN-RELATED	KOG1793	Uncharacterized_conserved_protein  	
Glyma.01G012600	85	UniRef100_K7K173 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K173_SOYBN	1.00E-55	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G012700	203	UniRef100_K7LE14 Uncharacterized protein n=1 Tax=Glycine max RepID=K7LE14_SOYBN	1.00E-147	100	UniRef100_G7JBC6 Kinesin-like protein KIF15 n=1 Tax=Medicago truncatula RepID=G7JBC6_MEDTR	2.00E-50	13.22	AT4G14150.1|Symbols:PAKRP1, KINESIN-12A|phragmoplast-associated kinesin-related protein 1|chr4:8158645-8165008 REVERSE LENGTH=1292	4.00E-43	12.93	GO:0000226 GO:0000280 GO:0000911 GO:0000914 GO:0006260 GO:0006270 GO:0006275 GO:0006306 GO:0006346 GO:0008283 GO:0010389 GO:0031048 GO:0042023 GO:0051225 GO:0051567 GO:0051726 GO:0055046 GO:0080175	DNA endoreduplication; DNA methylation; DNA replication; DNA replication initiation; cell proliferation; chromatin silencing by small RNA; cytokinesis by cell plate formation; histone H3-K9 methylation; methylation-dependent chromatin silencing; microgametogenesis; microtubule cytoskeleton organization; nuclear division; phragmoplast assembly; phragmoplast microtubule organization; regulation of DNA replication; regulation of G2/M transition of mitotic cell cycle; regulation of cell cycle; spindle assembly	GO:0003777 GO:0005515 GO:0008574	microtubule motor activity; plus-end-directed microtubule motor activity; protein binding	GO:0005737 GO:0009524	cytoplasm; phragmoplast	PF00225	Kinesin motor domain	PTHR24115	FAMILY NOT NAMED	NA	NA	
Glyma.01G012800	519	UniRef100_I1J4P2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4P2_SOYBN	0	100	UniRef100_U5G3G7 Lipase class 3 family protein n=1 Tax=Populus trichocarpa RepID=U5G3G7_POPTR	2.00E-102	79.37	AT4G16070.1|Symbols:|Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3|chr4:9096808-9100596 REVERSE LENGTH=654	2.00E-76	41.13	GO:0006629 GO:0016042	lipid catabolic process; lipid metabolic process	GO:0004091 GO:0004806	carboxylesterase activity; triglyceride lipase activity	GO:0005886	plasma membrane	PF01764	Lipase (class 3)	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	KOG2088	Predicted_lipase/calmodulin-binding_heat-shock_protein  	
Glyma.01G012900	380	UniRef100_K7K170 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K170_SOYBN	0	100	UniRef100_G7JG32 Helicase-like protein n=1 Tax=Medicago truncatula RepID=G7JG32_MEDTR	2.00E-126	21.98	AT3G51690.1|Symbols:|PIF1 helicase|chr3:19176731-19178107 REVERSE LENGTH=331	2.00E-47	74.92	GO:0008150	biological process	GO:0003674	molecular function	GO:0005634	nucleus	PF05970	PIF1-like helicase	PTHR10492	UNCHARACTERIZED	NA	NA	
Glyma.01G013000	165	UniRef100_UPI0003DE91BA PREDICTED: ankyrin repeat-containing protein At3g12360-like, partial n=1 Tax=Glycine max RepID=UPI0003DE91BA	4.00E-112	81.19	UniRef100_G7K9M3 Ankyrin repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7K9M3_MEDTR	7.00E-84	48.02	AT3G18670.1|Symbols:|Ankyrin repeat family protein|chr3:6424135-6426471 REVERSE LENGTH=598	3.00E-42	26.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G013100	1083	UniRef100_K7K174 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K174_SOYBN	0	100	UniRef100_G7KAW6 Cc-nbs-lrr resistance protein n=1 Tax=Medicago truncatula RepID=G7KAW6_MEDTR	0	97.89	AT3G14470.1|Symbols:|NB-ARC domain-containing disease resistance protein|chr3:4857940-4861104 FORWARD LENGTH=1054	3.00E-69	91.27	GO:0006952 GO:0009627 GO:0009697	defense response; salicylic acid biosynthetic process; systemic acquired resistance	GO:0005515 GO:0043531	ADP binding; protein binding	GO:0005576	extracellular region	PF00560 PF00931	Leucine Rich Repeat; NB-ARC domain	PTHR23155	LEUCINE-RICH REPEAT-CONTAINING PROTEIN	KOG4658	Apoptotic_ATPase  	
Glyma.01G013200	444	UniRef100_K7K175 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K175_SOYBN	0	100	UniRef100_R7W5V8 Sn1-specific diacylglycerol lipase alpha n=2 Tax=Triticeae RepID=R7W5V8_AEGTA	1.00E-23	16.9	AT3G49050.1|Symbols:|alpha/beta-Hydrolases superfamily protein|chr3:18181498-18183613 FORWARD LENGTH=477	2.00E-09	22.43	GO:0006629 GO:0016042	lipid catabolic process; lipid metabolic process	GO:0004091 GO:0004806 GO:0005516	calmodulin binding; carboxylesterase activity; triglyceride lipase activity	GO:0005576	extracellular region	PF01764	Lipase (class 3)	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	NA	NA	
Glyma.01G013300	752	UniRef100_K7K176 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K176_SOYBN	0	100	UniRef100_G7K9M3 Ankyrin repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7K9M3_MEDTR	5.00E-175	98.18	AT3G18670.1|Symbols:|Ankyrin repeat family protein|chr3:6424135-6426471 REVERSE LENGTH=598	2.00E-85	55.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G013400	225	UniRef100_K7K177 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K177_SOYBN	7.00E-163	100	UniRef100_B9SSB8 Serine/threonine-protein kinase n=1 Tax=Ricinus communis RepID=B9SSB8_RICCO	2.00E-50	25.43	AT4G23180.1|Symbols:CRK10, RLK4|cysteine-rich RLK (RECEPTOR-like protein kinase) 10|chr4:12138171-12140780 FORWARD LENGTH=669	2.00E-39	15.1	GO:0006468 GO:0006995	cellular response to nitrogen starvation; protein phosphorylation	GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005886	plasma membrane	PF07714	Protein tyrosine kinase	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	NA	NA	
Glyma.01G013500	675	UniRef100_K7K178 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K178_SOYBN	0	100	UniRef100_G7KDB1 Cysteine-rich receptor-like protein kinase n=1 Tax=Medicago truncatula RepID=G7KDB1_MEDTR	0	98.2	AT4G21410.1|Symbols:CRK29|cysteine-rich RLK (RECEPTOR-like protein kinase) 29|chr4:11402463-11405025 REVERSE LENGTH=679	0	96.47	GO:0006468 GO:0009737	protein phosphorylation; response to abscisic acid stimulus	GO:0004672 GO:0004674 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005576 GO:0005773 GO:0005886	extracellular region; plasma membrane; vacuole	PF07714 PF01657	Protein tyrosine kinase; Salt stress response/antifungal	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	KOG1187	Serine/threonine_protein_kinase  	
Glyma.01G013600	416	UniRef100_UPI0003DE9E6F PREDICTED: transcription factor HBP-1a isoform X2 n=1 Tax=Glycine max RepID=UPI0003DE9E6F	0	100	UniRef100_Q94KA7 BZIP transcription factor 3 n=1 Tax=Phaseolus vulgaris RepID=Q94KA7_PHAVU	0	104.53	AT2G35530.1|Symbols:bZIP16, AtbZIP16|basic region/leucine zipper transcription factor 16|chr2:14923280-14926025 REVERSE LENGTH=409	4.00E-160	100	GO:0006351 GO:0006355 GO:0006473 GO:0045893	positive regulation of transcription, DNA-dependent; protein acetylation; regulation of transcription, DNA-dependent; transcription, DNA-dependent	GO:0003677 GO:0003700 GO:0043565 GO:0046983	DNA binding; protein dimerization activity; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF00170 PF07777	bZIP transcription factor; G-box binding protein MFMR	PTHR22952	CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED	NA	NA	
Glyma.01G013700	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G013800	562	UniRef100_I1J4Q0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4Q0_SOYBN	0	100	UniRef100_B9GZK3 DNAJ heat shock N-terminal domain-containing family protein n=1 Tax=Populus trichocarpa RepID=B9GZK3_POPTR	6.00E-175	92.87	AT2G35540.1|Symbols:|DNAJ heat shock N-terminal domain-containing protein|chr2:14927158-14928930 FORWARD LENGTH=590	5.00E-128	94.41	GO:0006457	protein folding	GO:0031072 GO:0051082	heat shock protein binding; unfolded protein binding	GO:0005737	cytoplasm	PF00226 PF11926	DnaJ domain; Domain of unknown function (DUF3444)	PTHR25040	FAMILY NOT NAMED	KOG0691	Molecular_chaperone_(DnaJ_superfamily)  	
Glyma.01G013900	348	UniRef100_I1J4Q1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4Q1_SOYBN	0	100	UniRef100_U5GUJ5 Xyloglucan endotransglycosylase 2 family protein n=2 Tax=Populus trichocarpa RepID=U5GUJ5_POPTR	2.00E-172	86.13	AT1G32170.1|Symbols:XTR4, XTH30|xyloglucan endotransglucosylase/hydrolase 30|chr1:11575434-11577776 FORWARD LENGTH=343	2.00E-163	90.38	GO:0005975 GO:0006073	carbohydrate metabolic process; cellular glucan metabolic process	GO:0004553 GO:0016762 GO:0016798	hydrolase activity, acting on glycosyl bonds; hydrolase activity, hydrolyzing O-glycosyl compounds; xyloglucan:xyloglucosyl transferase activity	GO:0005618 GO:0048046	apoplast; cell wall	PF00722 PF06955	Glycosyl hydrolases family 16; Xyloglucan endo-transglycosylase (XET) C-terminus	NA	NA	NA	NA	
Glyma.01G014000	1119	UniRef100_I1J4Q3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4Q3_SOYBN	0	100	UniRef100_G7KCB0 Cellulose synthase-like protein n=1 Tax=Medicago truncatula RepID=G7KCB0_MEDTR	0	99.38	AT3G03050.1|Symbols:CSLD3, KJK, ATCSLD3|cellulose synthase-like D3|chr3:687873-691629 FORWARD LENGTH=1145	0	95.81	GO:0000271 GO:0009409 GO:0009832 GO:0010583 GO:0030244	cellulose biosynthetic process; plant-type cell wall biogenesis; polysaccharide biosynthetic process; response to cold; response to cyclopentenone	GO:0016757 GO:0016759 GO:0051753	cellulose synthase activity; mannan synthase activity; transferase activity, transferring glycosyl groups	GO:0005768 GO:0005783 GO:0005794 GO:0005802 GO:0005886 GO:0016020	Golgi apparatus; endoplasmic reticulum; endosome; membrane; plasma membrane; trans-Golgi network	PF03552	Cellulose synthase	PTHR10587	GLYCOSYL TRANSFERASE-RELATED	NA	NA	
Glyma.01G014100	408	UniRef100_K7K181 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K181_SOYBN	0	100	UniRef100_G7KCB2 Abhydrolase domain-containing protein FAM108C1 n=1 Tax=Medicago truncatula RepID=G7KCB2_MEDTR	0	100.75	AT1G32190.1|Symbols:|alpha/beta-Hydrolases superfamily protein|chr1:11593059-11595731 REVERSE LENGTH=422	2.00E-167	83.65	GO:0006499 GO:0009855 GO:0009944 GO:0010014 GO:0010075	N-terminal protein myristoylation; determination of bilateral symmetry; meristem initiation; polarity specification of adaxial/abaxial axis; regulation of meristem growth	GO:0016787	hydrolase activity	GO:0005576 GO:0005886	extracellular region; plasma membrane	PF02230	Phospholipase/Carboxylesterase	PTHR12277	UNCHARACTERIZED	KOG1552	Predicted_alpha/beta_hydrolase  	
Glyma.01G014200	459	UniRef100_K7K183 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K183_SOYBN	0	100	UniRef100_Q43822 Glycerol-3-phosphate acyltransferase, chloroplastic n=1 Tax=Phaseolus vulgaris RepID=PLSB_PHAVU	0	99.35	AT1G32200.2|Symbols:ATS1, ACT1|phospholipid/glycerol acyltransferase family protein|chr1:11602223-11605001 REVERSE LENGTH=459	0	82.35	GO:0006636 GO:0006655 GO:0008152 GO:0015995 GO:0016117 GO:0019288	carotenoid biosynthetic process; chlorophyll biosynthetic process; isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway; metabolic process; phosphatidylglycerol biosynthetic process; unsaturated fatty acid biosynthetic process	GO:0004366 GO:0016746	glycerol-3-phosphate O-acyltransferase activity; transferase activity, transferring acyl groups	GO:0009507 GO:0009536 GO:0009570	chloroplast; chloroplast stroma; plastid	PF01553	Acyltransferase	NA	NA	NA	NA	
Glyma.01G014300	69	UniRef100_I1J4Q9 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4Q9_SOYBN	2.00E-40	100	UniRef100_J9PQ26 Defender against cell death 1 n=1 Tax=Malus hupehensis var. mengshanensis RepID=J9PQ26_9ROSA	2.00E-38	57.14	AT1G32210.1|Symbols:ATDAD1|Defender against death (DAD family) protein|chr1:11606047-11607652 REVERSE LENGTH=115	1.00E-40	59.13	GO:0043069	negative regulation of programmed cell death	GO:0003674	molecular function	GO:0005783 GO:0016020 GO:0016021	endoplasmic reticulum; integral to membrane; membrane	PF02109	DAD family	PTHR10705	DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT DAD1	NA	NA	
Glyma.01G014400	304	UniRef100_I1J4R0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4R0_SOYBN	0	100	UniRef100_B6TV09 3-beta hydroxysteroid dehydrogenase/isomerase family protein n=1 Tax=Zea mays RepID=B6TV09_MAIZE	7.00E-151	86.27	AT1G32220.1|Symbols:|NAD(P)-binding Rossmann-fold superfamily protein|chr1:11608038-11609591 FORWARD LENGTH=296	4.00E-150	102.03	GO:0006979 GO:0042631 GO:0044237	cellular metabolic process; cellular response to water deprivation; response to oxidative stress	GO:0000166 GO:0003824 GO:0050662	catalytic activity; coenzyme binding; nucleotide binding	GO:0005739 GO:0009507 GO:0009579 GO:0010287	chloroplast; mitochondrion; plastoglobule; thylakoid	PF01370	NAD dependent epimerase/dehydratase family	PTHR12126	NADH-UBIQUINONE OXIDOREDUCTASE 39 KDA SUBUNIT-RELATED	KOG4288	Predicted_oxidoreductase  	
Glyma.01G014500	308	UniRef100_I1J4R1 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4R1_SOYBN	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G014600	790	UniRef100_I1J4R3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4R3_SOYBN	0	100	UniRef100_G7KCC4 Homeobox-leucine zipper protein ROC3 n=1 Tax=Medicago truncatula RepID=G7KCC4_MEDTR	0	98.25	AT5G46880.1|Symbols:HB-7, HDG5|homeobox-7|chr5:19031540-19035388 FORWARD LENGTH=826	0	92.74	GO:0006355 GO:0006944 GO:0048497	cellular membrane fusion; maintenance of floral organ identity; regulation of transcription, DNA-dependent	GO:0003677 GO:0003700 GO:0043565	DNA binding; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF01852 PF00046	START domain; Homeobox domain	PTHR24325	FAMILY NOT NAMED	NA	NA	
Glyma.01G014700	885	UniRef100_K7K186 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K186_SOYBN	0	100	UniRef100_G7KCC8 Lysine-specific demethylase 5B n=1 Tax=Medicago truncatula RepID=G7KCC8_MEDTR	0	101.07	AT5G46910.1|Symbols:|Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein|chr5:19046888-19050880 FORWARD LENGTH=787	0	95.55	GO:0006355 GO:0010200	regulation of transcription, DNA-dependent; response to chitin	GO:0003700	sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF02375 PF02373 PF02928	jmjN domain; JmjC domain, hydroxylase; C5HC2 zinc finger	PTHR10694	JUMONJI DOMAIN CONTAINING PROTEIN	KOG1246	DNA-binding_protein_jumonji/RBP2/SMCY,_contains_JmjC_domain  	
Glyma.01G014800	341	UniRef100_K7K188 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K188_SOYBN	0	100	UniRef100_D2CGQ0 MYB transcription factor MYB34 n=1 Tax=Medicago truncatula RepID=D2CGQ0_MEDTR	8.00E-152	84.58	AT1G32240.1|Symbols:KAN2|Homeodomain-like superfamily protein|chr1:11625882-11630355 REVERSE LENGTH=388	1.00E-85	87.11	GO:0006355 GO:0009737 GO:0009793 GO:0009845 GO:0009944 GO:0010162 GO:0048440 GO:0048481	carpel development; embryo development ending in seed dormancy; ovule development; polarity specification of adaxial/abaxial axis; regulation of transcription, DNA-dependent; response to abscisic acid stimulus; seed dormancy process; seed germination	GO:0003677 GO:0003700	DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF00249	Myb-like DNA-binding domain	NA	NA	NA	NA	
Glyma.01G014900	370	UniRef100_K7K189 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K189_SOYBN	0	90	UniRef100_G7KCE4 Shikimate kinase-like protein n=1 Tax=Medicago truncatula RepID=G7KCE4_MEDTR	0	95.76	AT2G35500.1|Symbols:SKL2|shikimate kinase like 2|chr2:14914038-14915909 FORWARD LENGTH=387	2.00E-150	80.88	GO:0000096 GO:0006546 GO:0006636 GO:0006733 GO:0006766 GO:0008652 GO:0009069 GO:0009072 GO:0009073 GO:0009106 GO:0009108 GO:0009117 GO:0009695 GO:0009965 GO:0010207 GO:0015995 GO:0016226 GO:0019288 GO:0019344 GO:0019748 GO:0030154 GO:0042545 GO:0044272 GO:0045893	aromatic amino acid family biosynthetic process; aromatic amino acid family metabolic process; cell differentiation; cell wall modification; cellular amino acid biosynthetic process; chlorophyll biosynthetic process; coenzyme biosynthetic process; cysteine biosynthetic process; glycine catabolic process; iron-sulfur cluster assembly; isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway; jasmonic acid biosynthetic process; leaf morphogenesis; lipoate metabolic process; nucleotide metabolic process; oxidoreduction coenzyme metabolic process; photosystem II assembly; positive regulation of transcription, DNA-dependent; secondary metabolic process; serine family amino acid metabolic process; sulfur amino acid metabolic process; sulfur compound biosynthetic process; unsaturated fatty acid biosynthetic process; vitamin metabolic process	GO:0004765 GO:0005524	ATP binding; shikimate kinase activity	GO:0009507	chloroplast	PF04969 PF01202	CS domain; Shikimate kinase	PTHR21087	SHIKIMATE KINASE	NA	NA	
Glyma.01G015000	584	UniRef100_I1J4R8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4R8_SOYBN	0	100	UniRef100_A2Q3R6 Poly(ADP-ribose) polymerase, catalytic region n=1 Tax=Medicago truncatula RepID=A2Q3R6_MEDTR	3.00E-173	104.2	AT1G32230.1|Symbols:RCD1, CEO, CEO1, ATP8, AtRCD1|WWE protein-protein interaction domain protein family|chr1:11613427-11615894 FORWARD LENGTH=589	5.00E-146	98.47	GO:0000165 GO:0000303 GO:0006096 GO:0006486 GO:0006612 GO:0006623 GO:0006809 GO:0006833 GO:0006944 GO:0006970 GO:0006972 GO:0006979 GO:0007030 GO:0007154 GO:0008219 GO:0009266 GO:0009409 GO:0009414 GO:0009651 GO:0009723 GO:0009733 GO:0009737 GO:0009738 GO:0009743 GO:0009751 GO:0009790 GO:0009816 GO:0009862 GO:0009863 GO:0009867 GO:0009873 GO:0010102 GO:0010193 GO:0010363 GO:0012501 GO:0016192 GO:0030968 GO:0031348 GO:0043069 GO:0046686 GO:0048193 GO:0050832 GO:2000377	Golgi organization; Golgi vesicle transport; MAPK cascade; abscisic acid mediated signaling pathway; cell communication; cell death; cellular membrane fusion; defense response to bacterium, incompatible interaction; defense response to fungus; embryo development; endoplasmic reticulum unfolded protein response; ethylene mediated signaling pathway; glycolysis; hyperosmotic response; jasmonic acid mediated signaling pathway; lateral root morphogenesis; negative regulation of defense response; negative regulation of programmed cell death; nitric oxide biosynthetic process; programmed cell death; protein glycosylation; protein targeting to membrane; protein targeting to vacuole; regulation of plant-type hypersensitive response; regulation of reactive oxygen species metabolic process; response to abscisic acid stimulus; response to auxin stimulus; response to cadmium ion; response to carbohydrate stimulus; response to cold; response to ethylene stimulus; response to osmotic stress; response to oxidative stress; response to ozone; response to salicylic acid stimulus; response to salt stress; response to superoxide; response to temperature stimulus; response to water deprivation; salicylic acid mediated signaling pathway; systemic acquired resistance, salicylic acid mediated signaling pathway; vesicle-mediated transport; water transport	GO:0003950 GO:0005515	NAD+ ADP-ribosyltransferase activity; protein binding	GO:0005634 GO:0005737	cytoplasm; nucleus	PF12174	RCD1-SRO-TAF4 (RST) plant domain	PTHR14453	PARP/ZINC FINGER CCCH TYPE DOMAIN CONTAINING PROTEIN	NA	NA	
Glyma.01G015100	371	UniRef100_I1J4S3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4S3_SOYBN	0	100	UniRef100_Q9ZP40 Plastoglobulin-1, chloroplastic n=1 Tax=Pisum sativum RepID=PG1_PEA	7.00E-165	98.6	AT2G35490.1|Symbols:|Plastid-lipid associated protein PAP / fibrillin family protein|chr2:14912309-14913797 REVERSE LENGTH=376	7.00E-122	77.66	GO:0008150	biological process	GO:0005198	structural molecule activity	GO:0009507 GO:0009534 GO:0009535 GO:0009536 GO:0009579 GO:0010287	chloroplast; chloroplast thylakoid; chloroplast thylakoid membrane; plastid; plastoglobule; thylakoid	PF04755	PAP fibrillin	NA	NA	NA	NA	
